[1, 78]
[131/84, 86]
[131/90, 91]
[131/105, 100]
[131/112, 95]
[131/120, 89]
[131/140, 96]
[131/144, 96]
[131/150, 99]
[131/168, 98]
[131/180, 78]
[131/204, 87]
[131/210, 95]
[133/60, 77]
[133/72, 81]
[133/80, 100]
[133/90, 91]
[133/120, 89]
[133/132, 77]
[133/160, 98]
[133/180, 90]
[135/56, 98]
[135/154, 97]
[136/105, 98]
[136/165, 96]
[137/56, 98]
[137/60, 78]
[137/70, 91]
[137/72, 84]
[137/80, 93]
[137/84, 78]
[137/90, 85]
[137/120, 83]
[137/165, 99]
[137/168, 89]
[137/175, 99]
[137/180, 85]
[137/210, 92]
[137/240, 95]
[138/95, 96]
[139/60, 85]
[139/70, 86]
[139/72, 93]
[139/80, 93]
[139/84, 85]
[139/117, 96]
[139/120, 80]
[139/126, 92]
[139/132, 99]
[139/140, 85]
[139/144, 99]
[139/168, 90]
[139/180, 96]
[139/210, 90]
[141/70, 80]
[141/80, 93]
[141/140, 89]
[141/170, 100]
[141/220, 100]
[142/105, 100]
[143/60, 87]
[143/63, 96]
[143/70, 97]
[143/72, 94]
[143/84, 99]
[143/90, 90]
[143/105, 93]
[143/120, 89]
[143/168, 91]
[143/180, 77]
[143/190, 100]
[143/210, 93]
[145/63, 100]
[145/72, 92]
[145/84, 78]
[145/168, 90]
[145/228, 89]
[145/252, 90]
[146/105, 82]
[148/65, 97]
[148/105, 98]
[148/165, 91]
[149/60, 91]
[149/70, 94]
[149/78, 88]
[149/80, 82]
[149/84, 87]
[149/90, 86]
[149/100, 97]
[149/105, 100]
[149/112, 100]
[149/120, 79]
[149/126, 96]
[149/132, 91]
[149/140, 82]
[149/144, 98]
[149/156, 92]
[149/168, 97]
[149/180, 83]
[149/210, 86]
[150/77, 93]
[151/60, 96]
[151/70, 91]
[151/72, 91]
[151/84, 80]
[151/88, 97]
[151/90, 92]
[151/104, 89]
[151/105, 89]
[151/112, 98]
[151/120, 85]
[151/150, 96]
[151/168, 84]
[151/180, 93]
[151/255, 94]
[152/105, 86]
[152/117, 100]
[153/80, 95]
[153/110, 97]
[153/140, 95]
[155/72, 83]
[155/84, 89]
[155/132, 80]
[155/156, 79]
[155/168, 87]
[157/60, 100]
[157/70, 93]
[157/80, 97]
[157/84, 88]
[157/105, 97]
[157/120, 89]
[157/144, 89]
[157/168, 96]
[157/180, 99]
[157/182, 99]
[157/210, 98]
[158/85, 84]
[158/105, 92]
[158/165, 91]
[158/195, 98]
[159/70, 98]
[159/110, 99]
[159/112, 92]
[159/140, 94]
[161/80, 98]
[161/90, 95]
[161/120, 84]
[161/180, 84]
[163/72, 99]
[163/84, 87]
[163/90, 89]
[163/105, 100]
[163/126, 98]
[163/140, 88]
[163/168, 95]
[163/170, 97]
[163/180, 93]
[163/240, 97]
[164/105, 98]
[166/105, 77]
[166/115, 100]
[167/72, 89]
[167/84, 81]
[167/90, 89]
[167/120, 87]
[167/126, 85]
[167/165, 93]
[167/168, 88]
[167/180, 100]
[167/210, 96]
[167/285, 96]
[169/70, 86]
[169/80, 97]
[169/90, 88]
[169/120, 85]
[169/140, 87]
[169/144, 98]
[169/168, 96]
[169/180, 97]
[169/210, 97]
[169/240, 97]
[169/252, 100]
[171/80, 97]
[171/112, 98]
[171/140, 98]
[172/105, 97]
[173/72, 100]
[173/84, 74]
[173/90, 86]
[173/105, 89]
[173/112, 98]
[173/120, 93]
[173/180, 99]
[173/210, 100]
[173/240, 94]
[173/252, 100]
[173/276, 93]
[175/78, 98]
[175/108, 98]
[175/144, 98]
[175/156, 95]
[176/91, 95]
[176/95, 86]
[176/105, 95]
[176/135, 95]
[177/104, 99]
[177/140, 81]
[179/84, 85]
[179/90, 95]
[179/105, 93]
[179/120, 83]
[179/126, 97]
[179/130, 99]
[179/153, 100]
[179/180, 80]
[179/210, 94]
[179/240, 95]
[179/280, 98]
[181/80, 100]
[181/84, 84]
[181/105, 91]
[181/120, 80]
[181/126, 94]
[181/140, 91]
[181/156, 82]
[181/168, 94]
[181/180, 90]
[181/190, 99]
[181/210, 94]
[183/110, 100]
[183/140, 95]
[183/280, 98]
[184/195, 93]
[185/112, 98]
[185/126, 92]
[185/144, 90]
[185/168, 95]
[187/84, 98]
[187/90, 81]
[187/96, 99]
[187/105, 83]
[187/108, 98]
[187/120, 97]
[187/140, 95]
[187/168, 94]
[187/180, 98]
[187/210, 87]
[187/240, 90]
[187/280, 97]
[187/300, 95]
[188/105, 92]
[189/260, 98]
[191/84, 97]
[191/90, 98]
[191/105, 89]
[191/112, 100]
[191/120, 88]
[191/140, 93]
[191/180, 90]
[191/210, 85]
[191/252, 99]
[191/280, 94]
[191/330, 99]
[193/80, 97]
[193/84, 90]
[193/90, 94]
[193/102, 92]
[193/105, 86]
[193/120, 85]
[193/126, 92]
[193/140, 83]
[193/168, 92]
[193/180, 93]
[193/204, 100]
[193/240, 93]
[194/105, 88]
[194/315, 98]
[195/88, 96]
[195/136, 93]
[196/195, 97]
[197/90, 93]
[197/110, 89]
[197/120, 81]
[197/126, 97]
[197/140, 86]
[197/168, 81]
[197/180, 85]
[197/220, 100]
[197/240, 92]
[197/364, 100]
[199/105, 94]
[199/120, 80]
[199/132, 90]
[199/168, 87]
[199/180, 99]
[199/204, 83]
[199/210, 96]
[199/345, 100]
[201/140, 98]
[202/91, 99]
[202/105, 90]
[202/165, 100]
[203/110, 89]
[203/120, 87]
[203/135, 100]
[203/240, 91]
[205/84, 95]
[205/168, 93]
[205/252, 100]
[206/105, 96]
[207/140, 93]
[207/220, 89]
[208/105, 88]
[209/84, 94]
[209/90, 98]
[209/105, 94]
[209/120, 86]
[209/140, 92]
[209/144, 92]
[209/168, 100]
[209/180, 90]
[209/210, 91]
[209/280, 97]
[211/105, 95]
[211/108, 94]
[211/120, 84]
[211/140, 91]
[211/168, 100]
[211/180, 97]
[211/240, 97]
[211/252, 97]
[212/105, 94]
[212/115, 90]
[212/135, 99]
[212/315, 100]
[213/110, 100]
[213/112, 99]
[213/280, 98]
[214/105, 86]
[215/112, 98]
[215/114, 94]
